id,county,latitude,longitude,wellDepth,LandSurfaceElevation,DepthFromLSD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1048605,Hale,34.3072230,-102.0230550,115.82399629363212,1089.9647651211276,82.64651735531147,0,0,0,0,0,0,128.73999999999978,0,0,0,120.44999999999982,0,0,0,108.06999999999971,0,0,91.19000000000005,0,0,0
1056203,Hale,34.2311110,-102.0491670,99.0599968300801,1089.9647651211276,87.40749320296021,0,0,0,0,0,0,65.51000000000022,0,0,0,57.440000000000055,0,0,0,49.539999999999964,0,0,39.5300000000002,0,0,0
1056504,Hale,34.1808330,-102.0608340,94.1831969861377,1083.8687653161994,84.7648772875239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056801,Hale,34.1580560,-102.0755550,91.4399970739201,1082.649565355214,79.9642774411431,0,70.80000000000018,0,0,0,58.15000000000009,0,0,0,49.210000000000036,0,0,0,44.11999999999989,0,0,0,35.7800000000002,0,0,0
1064803,Hale,34.0352780,-102.0694440,96.92639689835529,1070.457565745358,76.2822935589666,0,0,102.38999999999987,0,0,0,91.69999999999982,0,0,0,82.34999999999991,0,0,0,64.51000000000022,0,0,49.23000000000002,0,0,0
1141501,Hale,34.3066670,-101.9358340,96.6215969081089,1077.1631655307788,64.26098194364856,143.8699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141506,Hale,34.3063890,-101.9297220,105.15599663500811,1076.5535655502858,85.34399726899208,0,0,0,0,0,118.48000000000002,0,0,0,100.52999999999975,0,0,0,95.08999999999969,0,0,0,82.07999999999993,0,0,0
1141602,Hale,34.2969450,-101.8830550,87.7823971909633,1066.4951658721548,78.20558149742138,0,0,0,0,72.59999999999991,0,0,0,60.75,0,0,0,54.00999999999976,0,0,0,44.42000000000007,0,0,0,35.01999999999998
1141906,Hale,34.2605560,-101.9116670,94.1831969861377,1066.4951658721548,65.48627790443908,0,0,0,0,0,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142704,Hale,34.2672220,-101.8655560,87.47759720071689,1061.0087660477195,76.42554955438234,0,0,0,74.80999999999995,0,0,0,61.379999999999654,0,0,0,54.6899999999996,0,0,0,45.429999999999836,0,0,0,35.960000000000036,0
1143608,Hale,34.2977780,-101.6533340,85.34399726899208,1025.9567671693835,70.91171773082506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.25
1144714,Hale,34.2552780,-101.6086120,94.7927969666305,1020.1655673547018,69.3237097816413,0,0,0,104.35000000000036,0,0,0,100.20000000000027,0,0,0,98.07000000000016,0,0,0,95.84000000000015,0,0,0,88.86000000000013,0
1144811,Hale,34.2872220,-101.5713890,87.7823971909633,1018.3367674132235,69.77786176710838,0,0,31.769999999999982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149101,Hale,34.2416670,-101.9877780,91.4399970739201,1085.697565257678,86.81008522207726,0,0,0,83.07999999999993,0,0,0,75.90000000000009,0,0,0,0,68.07999999999993,0,0,0,60.320000000000164,0,0,0,49.590000000000146
1149204,Hale,34.2463890,-101.9172220,88.3919971714561,1066.4951658721548,66.5073578717645,0,0,0,0,0,86.30000000000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149308,Hale,34.2436110,-101.9000010,92.9639970251521,1064.9711659209227,67.77837383109201,0,0,0,0,0,76.5300000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149404,Hale,34.1952780,-101.9911110,101.8031967422977,1082.039965374721,90.775533095183,0,0,38.36000000000013,0,0,0,30.769999999999982,0,0,0,26.700000000000273,0,0,0,23.340000000000146,0,0,17.079999999999927,0,0,0
1149502,Hale,34.1850000,-101.9525010,93.5735970056449,1071.371965716097,78.33359749332489,69.2199999999998,0,0,0,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149702,Hale,34.1291670,-101.9961110,87.7823971909633,1068.9335657941258,75.20025359359182,0,0,0,65.34000000000015,0,0,0,53.61999999999989,0,0,0,46.940000000000055,0,0,0,39.7800000000002,0,0,0,0,0
1149801,Hale,34.1597230,-101.9525010,100.58399678131211,1068.9335657941258,85.48420526450545,0,0,94.4699999999998,0,0,0,83.81999999999971,0,0,0,78.57999999999993,0,0,0,71.53999999999996,0,0,0,0,60.23999999999978,0
1149903,Hale,34.1588890,-101.9080560,102.71759671303691,1064.0567659501835,74.84668560490604,0,86.03999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150203,Hale,34.2452780,-101.7952780,85.34399726899208,1047.5975664768778,73.8987576352397,0,0,107.94999999999982,0,0,0,99.15999999999985,0,0,0,94.73000000000002,0,0,0,90.13999999999987,0,0,84.15000000000009,0,0,0
1150204,Hale,34.2177780,-101.8288890,98.1455968593409,1049.1215664281099,73.6671096426525,83.51000000000022,0,0,0,73.80000000000018,0,0,0,61.75,0,0,0,56.600000000000364,0,0,0,52.86000000000013,0,0,0,44.11000000000013
1150506,Hale,34.1850000,-101.8108340,94.4879969763841,1046.073566525646,66.09587788493188,0,0,0,0,0,111.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150605,Hale,34.1775000,-101.7677780,92.9639970251521,1035.405566867022,61.93535801806849,129.11000000000013,0,0,0,120.5,0,0,0,111.86999999999989,0,0,0,106.88000000000011,0,0,0,100.57999999999993,0,0,0,92.30000000000018
