id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2309601,Lubbock,33.8225000,-101.9155556,48.76799843942405,1014.983967520513,970.4465929457091,-17.7199999999998,44.537374574803984,2,20,2015
2309701,Lubbock,33.7661120,-101.9633340,60.95999804928006,1022.2991672864266,969.9985369600467,-13.390000000000327,52.300630326379874,12,8,2010
2310413,Lubbock,33.7927780,-101.8475000,71.62799770790407,1018.9463673937163,960.5680252618231,-4.130000000000109,58.37834213189311,2,3,2016
2310502,Lubbock,33.7983340,-101.8147230,91.4399970739201,1016.2031674814987,952.9815535045902,87.57999999999993,63.22161397690837,1,27,2016
2310703,Lubbock,33.7725000,-101.8536120,60.95999804928006,1014.3743675400202,960.3150412699187,8.639999999999873,54.0593262701016,1,27,2016
2311501,Lubbock,33.8108340,-101.6822220,108.20399653747211,1000.3535679886859,937.9091939869058,61.93000000000029,62.44437400178,2,5,2004
2311502,Lubbock,33.8127780,-101.6902780,91.4399970739201,1004.0111678716427,936.3760500359664,105,67.63511783567625,12,26,2014
2311601,Lubbock,33.7986111,-101.6361111,104.24159666426891,993.647968203265,937.4611380012435,121.55999999999995,56.186830202021476,1,15,2015
2311702,Lubbock,33.7816670,-101.7483340,91.4399970739201,1002.4871679204107,930.56656222187,91.63999999999987,71.92060569854063,12,26,2014
2311801,Lubbock,33.7663890,-101.7058340,106.67999658624011,995.171968154497,922.3430584850221,106.36000000000013,72.82890966947491,12,26,2014
2311904,Lubbock,33.7644450,-101.6308330,88.69679716170249,986.027968447105,922.2516184879482,137.0600000000004,63.77634995915673,12,22,2014
2312401,Lubbock,33.7955560,-101.6125010,111.25199643993612,991.2095682812939,925.5221223832921,112.98999999999978,65.6874458980018,2,2,2016
2312803,Lubbock,33.7511120,-101.5650010,84.73439728849928,975.6647687787274,903.0217871033028,121.26999999999998,72.64298167542456,1,4,2016
2317104,Lubbock,33.7188890,-101.9830550,52.120798332134456,1013.1551675790347,970.3825849477573,22.070000000000164,42.77258263127733,1,21,2016
2317202,Lubbock,33.7338890,-101.9397220,67.05599785420807,1017.1175674522378,960.0955852769413,-26.980000000000018,57.02198217529655,12,9,2014
2317205,Lubbock,33.7086120,-101.9225000,50.90159837114885,1007.363967764353,956.6757293863766,-1.300000000000182,50.688238377976425,3,2,2016
2317406,Lubbock,33.6711110,-101.9619450,42.67199863449604,994.8671681642506,967.3681130442204,46.98000000000002,27.499055120030174,12,23,2014
